ID,TITLE,RELEASE_DATE,IMAGE_URL
360,Avengers (1998) #79,2004-04-15,/i/mg/9/50/586d5a21ecc90
468,Hulk (1999) #70,2004-04-14,/i/mg/9/80/646d1c62a96dc
470,Iron Man (1998) #79,2004-04-14,/i/mg/8/a0/4d250b1f2a91d
464,Wolverine (2003) #13,2004-04-07,/i/mg/a/00/51ed62cc88f75
292,Avengers (1998) #78,2004-04-01,/i/mg/a/70/586d58cab59e9
427,Wolverine (2003) #12,2004-03-17,/i/mg/c/40/51ed62b5caf92
407,Iron Man (1998) #78,2004-03-10,/i/mg/9/80/4d24dc095be76
236,Wolverine (2003) #11,2004-02-18,/i/mg/5/c0/51ed62a59000e
4937,Avengers (1998) #76,2004-02-15,/i/mg/4/04/586d55dd8decf
224,Wolverine: The End (2003) #3,2004-02-11,/i/mg/b/80/605106aabc4ee
275,Wolverine/Captain America (2004) #2,2004-02-11,/i/mg/e/50/5dbb00d831eaa
378,Iron Man (1998) #77,2004-02-11,/i/mg/f/30/4d24f8e1dbee0
260,Wolverine/Captain America (2004) #1,2004-02-04,/i/mg/b/d0/5dbae9405b1d2
4925,Avengers (1998) #75,2004-02-01,/i/mg/1/40/586d54d638086
235,Ultimates (2002) #13,2004-01-28,/i/mg/c/30/515f05d0edf5d
237,Wolverine (2003) #10,2004-01-21,/i/mg/5/c0/5b11af37730f1
335,Iron Man (1998) #76,2004-01-14,/i/mg/9/a0/4d24ece66961b
280,Captain America (2002) #20,2004-01-01,/i/mg/c/70/5bc78bc7a915a
348,Avengers (1998) #74,2004-01-01,/i/mg/3/60/586d530a711f6
17483,WOLVERINE LEGENDS VOL. 5: SNIKT! TPB (Trade Paperback),2004-01-01,/i/mg/d/03/647e4379036b4
225,Wolverine: The End (2003) #2,2003-12-31,/i/mg/f/d0/605106a93d234
1214,Avengers Vol. II: Red Zone (Trade Paperback),2003-12-24,/i/mg/f/d0/586bef2fcd80e
231,Wolverine (2003) #9,2003-12-17,/i/mg/5/90/5b11a80da6623
337,Iron Man (1998) #75,2003-12-10,/i/mg/3/a0/5a69ef2176180
1205,WOLVERINE VOL. 1: THE BROTHERHOOD TPB (Trade Paperback),2003-12-10,/i/mg/5/d0/5b1194c6c105d
4940,Avengers (1998) #73,2003-12-01,/i/mg/a/60/586d4ff926a9c
268,Wolverine (2003) #8,2003-11-19,/i/mg/b/b0/5b11a17dd6fc1
375,Avengers (1998) #72,2003-11-15,/i/mg/c/c0/586d4eecd44b5
350,Iron Man (1998) #74,2003-11-12,/i/mg/6/b0/5a69e1d3d8651
226,Wolverine: The End (2003) #1,2003-11-05,/i/mg/0/03/605106a93c661
233,Wolverine (2003) #7,2003-11-05,/i/mg/2/60/5b119b0f20423
379,Iron Man (1998) #73,2003-10-31,/i/mg/c/80/5a68ee5b42a8c
255,Ultimates (2002) #12,2003-10-29,/i/mg/6/70/515f05c5906cf
277,Amazing Spider-Man (1999) #500,2003-10-22,/i/mg/6/d0/57fe6d3d58106
1170,Avengers Vol. 2: Red Zone (Trade Paperback),2003-10-22,/i/mg/f/80/586beee6a0a9b
234,Wolverine (2003) #6,2003-10-15,/i/mg/5/d0/5b1194c6c105d
19949,Iron Man (1998) #72,2003-10-15,/i/mg/8/f0/5a68e3c610da3
14264,Wolverine (2003) #5,2003-10-01,/i/mg/3/60/5b118ed811809
18829,Spider-Man & Wolverine (2003) #3,2003-10-01,/i/mg/c/20/4bb8468c0ddc1
19948,Iron Man (1998) #71,2003-10-01,/i/mg/6/e0/5a68d9b3c8219
43171,Amazing Spider-Man (1999) #58,2003-09-24,/i/mg/5/a0/57ea901a600d2
14259,Wolverine (2003) #4,2003-09-17,/i/mg/6/70/5b1187e526bf4
15294,Ultimates (2002) #11,2003-09-03,/i/mg/4/70/5a9d896c12796
17555,Avengers (1998) #69,2003-09-02,/i/mg/9/e0/586bd504bc79f
14247,Wolverine (2003) #3,2003-09-01,/i/mg/b/b0/51ed612b4ddb2
19947,Iron Man (1998) #70,2003-09-01,/i/mg/1/80/5a68c70859379
43170,Amazing Spider-Man (1999) #57,2003-08-27,/i/mg/d/90/57ea8d7ee79e4
17554,Avengers (1998) #68,2003-08-02,/i/mg/7/30/586bd4318f7d8
14236,Wolverine (2003) #2,2003-08-01,/i/mg/5/d0/4bc36546cc104
19945,Iron Man (1998) #69,2003-08-01,/i/mg/3/f0/5a68b4d229595
15293,Ultimates (2002) #10,2003-07-09,/i/mg/a/20/5a9d7944ddf44
17553,Avengers (1998) #67,2003-07-02,/i/mg/f/b0/586bd36edf4cb
10495,Paradise X (2002) #11,2003-07-01,/i/mg/6/60/5c9e21e67018a
14225,Wolverine (2003) #1,2003-07-01,/i/mg/b/f0/5ae748d0d11cc
19944,Iron Man (1998) #68,2003-07-01,/i/mg/9/e0/5a68a9fe680f0
1130,Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (Hardcover),2003-06-04,/i/mg/8/c0/5e3b010df327e
1107,HULK LEGENDS VOL. 1: HULK/WOLVERINE: SIX HOURS TPB (Trade Paperback),2003-06-01,/i/mg/9/80/4bc369df87a02
10494,Paradise X (2002) #10,2003-06-01,/i/mg/c/40/5c9e20d6cf6a1
14135,Wolverine (1988) #189,2003-06-01,/i/mg/5/b0/4c3662dd0431b
16048,Hulk/Wolverine: Six Hours (2003) #4,2003-06-01,/i/mg/2/50/4bc369eebab5e
19943,Iron Man (1998) #67,2003-06-01,/i/mg/2/40/5a68a1c321130
12821,Captain America (2002) #13,2003-05-14,/i/mg/c/10/5bc7337dbec40
1099,WOLVERINE LEGENDS VOL. 3: LAW OF THE JUNGLE TPB (Trade Paperback),2003-05-01,/i/mg/3/60/4c366d609b046
1100,WOLVERINE LEGENDS VOL. 2: MELTDOWN TPB (Trade Paperback),2003-05-01,/i/mg/c/50/4bb7c3181af8f
14133,Wolverine (1988) #187,2003-05-01,/i/mg/a/c0/4c3669e8ef96e
14134,Wolverine (1988) #188,2003-05-01,/i/mg/6/f0/4c36686a6e4d6
16047,Hulk/Wolverine: Six Hours (2003) #3,2003-05-01,/i/mg/7/00/4bc369e9d2286
19942,Iron Man (1998) #66,2003-05-01,/i/mg/6/10/5a689a150cd32
1113,Thor Vol. 3: Gods on Earth (Trade Paperback),2003-04-30,/i/mg/f/60/586bef147dbab
15304,Ultimates (2002) #9,2003-04-02,/i/mg/9/b0/5a9d723238dee
14132,Wolverine (1988) #186,2003-04-01,/i/mg/a/20/584eece4e1884
16046,Hulk/Wolverine: Six Hours (2003) #2,2003-04-01,/i/mg/6/60/4bc369e4b8142
19845,Marvel Double-Shot (2003) #4,2003-04-01,/i/mg/6/40/5a664d69bb213
19941,Iron Man (1998) #65,2003-04-01,/i/mg/f/b0/5a688a3dee3de
